,Name,Icon URL,Average User Rating,User Rating Count,Price,In-app Purchases,Genres,Image
51,Flip Ninja,https://is2-ssl.mzstatic.com/image/thumb/Purple/v4/46/76/ff/4676ff1c-f6fa-c230-8e85-f8d7165858ce/source/512x512bb.jpg,2.5,6.0,0.0,,"Games, Strategy, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
52,Gun Runner Wars,https://is1-ssl.mzstatic.com/image/thumb/Purple20/v4/d5/88/75/d58875a8-8885-3906-eec4-022709fe3f16/source/512x512bb.jpg,3.0,740.0,0.99,,"Games, Finance, Strategy, Simulation",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
53,Word Zapper,https://is4-ssl.mzstatic.com/image/thumb/Purple118/v4/b6/47/66/b64766eb-0767-0850-c320-dc5a56883e77/source/512x512bb.jpg,3.0,89.0,0.99,,"Games, Strategy, Word, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
54,Antivirus,https://is4-ssl.mzstatic.com/image/thumb/Purple1/v4/60/af/6f/60af6fd2-ae54-f6b0-08d8-120e8f4de25a/source/512x512bb.jpg,3.0,187.0,0.0,1.99,"Games, Entertainment, Simulation, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
55,Arcs,https://is3-ssl.mzstatic.com/image/thumb/Purple115/v4/66/85/13/668513d6-9205-fd3c-d073-724651bfd9ce/source/512x512bb.jpg,4.0,413.0,2.99,,"Games, Puzzle, Entertainment, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
58,Strategery Lite,https://is5-ssl.mzstatic.com/image/thumb/Purple/v4/6a/f7/f2/6af7f2e1-7ae8-2924-8dd6-55396093528a/source/512x512bb.jpg,3.5,9121.0,0.0,,"Games, Entertainment, Board, Strategy",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
59,Wedding Dash Deluxe,https://is4-ssl.mzstatic.com/image/thumb/Purple/v4/d8/53/b3/d853b3a9-c1ea-157e-03a8-2f8d94235a89/source/512x512bb.jpg,4.5,17056.0,0.99,"0.0, 0.99, 5.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","Games, Strategy, Action, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
60,Agency Wars Lite,https://is1-ssl.mzstatic.com/image/thumb/Purple/v4/54/4d/46/544d4674-86ec-1086-642a-925007cb59ee/source/512x512bb.jpg,2.5,17045.0,0.0,,"Games, Entertainment, Strategy, Role Playing",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
61,Touch Physics Lite,https://is4-ssl.mzstatic.com/image/thumb/Purple/v4/ba/e6/10/bae61091-6995-cbec-dbf0-71c90b922ff1/source/512x512bb.jpg,3.5,42210.0,0.0,,"Games, Puzzle, Strategy, Entertainment",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
62,FIREWALL: Defender FREE,https://is4-ssl.mzstatic.com/image/thumb/Purple111/v4/b1/9c/c4/b19cc4c7-d0be-db90-6487-2d23b313374c/source/512x512bb.jpg,2.5,1156.0,0.0,,"Games, Strategy, Entertainment, Puzzle",<PIL.Image.Image image mode=RGB size=150x150 at 0x7F06707C86A0>
